ein_fk,ein_pk,ntee_irs_code,ntee_nccs_code,ntee_modern_code,nccs_level_1_category,nccs_level_2_category,nccs_level_3_category,total_revenue,total_income,total_assets,city,state,zipcode,street_address,census_cbsa_fips_code,census_cbsa_name,census_block_fips_code,census_urban_area,census_state_abbreviation,census_county_name,address_full,address_matched,latitude,longitude,geocoder_confidence_score,geocoder_match_type,bmf_subsection_code,bmf_status_code,bmf_private_foundation_filing_required,bmf_organization_code,bmf_income_code,bmf_group_exemption_number,bmf_foundation_code,bmf_filing_requirement_code,bmf_deductibility_code,bmf_classification_code,bmf_asset_code,bmf_affiliation_code,organization_ruling_date,organization_fiscal_year,organization_ruling_year,organization_first_year,organization_last_year,organization_year_count,organization_personal_ico,org_name_secondary,org_name,organization_fiscal_period
,002026985,S81,S81,PSB-S81-RG,501CX NONPROFIT,O,PB,,0.0,0.0,BRONXVILLE,NY,10708-1502,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190046001006,U,NY,,"BRONXVILLE,NY,10708-1502","10708-1502, Bronxville, New York",40.943673,-73.8331515,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JUNIOR LEAGUE OF BRONXVILLE N Y INCORPORATED,6
,002027121,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0.0,0.0,NEW YORK,NY,10024-3844,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610169004000,U,NY,,"NEW YORK,NY,10024-3844","10024, New York, New York",40.7861300000001,-73.975415,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,BRIDGE,6
,002027124,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,ELIZABETH,NJ,07208-2298,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340390317002003,U,NJ,,"ELIZABETH,NJ,07208-2298","07208-2298, Elizabeth, New Jersey",40.674852,-74.214828,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JOHN JAY & ELIZA JANE WATSON FOUNDATION,6
,002027159,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0.0,0.0,NEW YORK,NY,10010-7002,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610054001001,U,NY,,"NEW YORK,NY,10010-7002","10010-7002, New York, New York",40.73985,-73.99089,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,POALE AGUDATH ISRAEL OF AMERICA,6
,002027178,A70,A70,ART-A70-RG,501CX NONPROFIT,O,AR,,0.0,0.0,NEW YORK,NY,10001-7510,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610058001000,U,NY,,"NEW YORK,NY,10001-7510","10001-7510, New York, New York",40.744692,-73.9887615,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,HEBREW LITERARY FOUNDATION INC,6
,002027310,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10017-3597,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610088001000,U,NY,,"NEW YORK,NY,10017-3597","10017, New York, New York",40.75192,-73.973605,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,CHARLES E CULPEPER FOUNDATION INC,6
,002027451,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10020-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610104001006,U,NY,,"NEW YORK,NY,10020-0000","10020, New York, New York",40.7590200000001,-73.9784099999999,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,G UNGER VETLESEN FOUNDATION,6
,002027585,P28,P28,HMS-P28-RG,501CX NONPROFIT,O,HS,,0.0,0.0,STATEN ISLAND,NY,10308-2060,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360850146052023,U,NY,,"STATEN ISLAND,NY,10308-2060","10308-2060, Staten Island, New York",40.553163,-74.1499785,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,GREAT KILLS COMMUNITY CENTER INC,6
,002027712,L99,L99,HMS-L99-RG,501CX NONPROFIT,O,HS,,0.0,0.0,NEW YORK CITY,NY,10023-2170,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610163004001,U,NY,,"NEW YORK CITY,NY,10023-2170","10023-2170, New York, New York",40.780737,-73.98243,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ST AGNES RESIDENCE,6
,002027721,Y41,Y41,MMB-Y41-RG,501CX NONPROFIT,M,MO,,0.0,0.0,NEW ROCHELLE,NY,10802,PO BOX 124,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190060003004,U,NY,,"PO BOX 124,NEW ROCHELLE,NY,10802","10802, New Rochelle, New York",40.9114023000001,-73.7821724,98.0,M,8,,,,,188.0,0,20,,,,,1940-10-01,2010-01-01,1940-01-01,1999-01-01,2010-01-01,,,339 HUGH A DOYLE ROCHELLE COUNCIL,KNIGHTS OF COLUMBUS,10
,002027756,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEWARK,NJ,07102-2727,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340130080001025,U,NJ,,"NEWARK,NJ,07102-2727","07102-2727, Newark, New Jersey",40.734801,-74.172492,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,EMIL & HANA RAMAT FOUNDATION INC,6
,002028032,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0.0,0.0,MONSEY,NY,10952-2498,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360870121112005,U,NY,,"MONSEY,NY,10952-2498","10952-2498, Monsey, New York",41.119893,-74.0772,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,MONSEY MESIFTA INC,6
,002028044,T20,T20,PSB-T20-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0.0,0.0,WOODLAND HLS,CA,91364,21731 VENTURA BLVD STE 300,31080,"Los Angeles-Long Beach-Anaheim, CA",60371375022000,U,CA,,"21731 VENTURA BLVD STE 300,WOODLAND HLS,CA,91364","21731 Ventura Blvd, Ste 300, Woodland Hills, California, 91364",34.1683921227131,-118.601606226614,100.0,M,3,,,,,0.0,4,1,,,,,1968-11-01,2010-01-01,1968-01-01,1989-01-01,2010-01-01,,,,BARBRA STREISAND FOUNDATION,11
,002028122,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,ORANGEBURG,NY,10962-2193,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360870130022009,U,NY,,"ORANGEBURG,NY,10962-2193","10962-2193, Orangeburg, New York",41.044221,-73.949922,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ABRAHAM LANDA MEMORIAL FOUNDATION INC,6
,002028256,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0.0,0.0,HARLEM,NY,10037-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610212001001,U,NY,,"HARLEM,NY,10037-0000","10037, Harlem, New York, New York",40.8150475337608,-73.9382563372969,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,AFRAM ASSOCIATES INC,6
,002028280,W30,W30,PSB-W30-RG,501CX NONPROFIT,O,PB,,0.0,0.0,BAYSIDE,NY,11361,4240 CORPORAL KENNEDY ST,35620,"New York-Newark-Jersey City, NY-NJ-PA",360811467003002,U,NY,,"4240 CORPORAL KENNEDY ST,BAYSIDE,NY,11361","42-40 Corporal Kennedy St, Bayside, New York, 11361",40.760703,-73.774692,99.97,M,4,,,,,3070.0,0,20,,,,,1978-01-01,2011-01-01,1978-01-01,1999-01-01,2011-01-01,,,,INTERNATIONAL VETERAN BOXERS ASSOCIATION OF NEW YORK INC,1
,002028474,B99,B99,EDU-B99-RG,501C3 CHARITY,O,ED,,0.0,0.0,ALEXANDRIA,VA,22314,1701 DUKE ST STE 200,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",515102007053001,U,VA,,"1701 DUKE ST STE 200,ALEXANDRIA,VA,22314","1701 Duke St, Ste 200, Alexandria, Virginia, 22314",38.8043224413695,-77.0596392686538,100.0,M,3,,,,,0.0,15,10,,,,,1971-09-01,2010-01-01,1971-01-01,1989-01-01,2010-01-01,,,,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK INC FREYTAG,9
,002028709,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10036-4503,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610096001000,U,NY,,"NEW YORK,NY,10036-4503","10036-4503, New York, New York",40.756419,-73.9801305,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,MORTIMER J HARRISON FOUNDATION INC,6
,002028847,V30,V30,PSB-V30-RG,501CX NONPROFIT,O,PB,,0.0,0.0,NEW YORK,NY,10033-3785,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610263004005,U,NY,,"NEW YORK,NY,10033-3785","10033-3785, New York, New York",40.845087,-73.9388205,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,CHILDRENS ARTS & SCIENCES WORKSHOP INC,6
,002030132,B05,B05,EDU-B00-RP,501CX NONPROFIT,O,ED,,0.0,0.0,NEW YORK,NY,10016-6901,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610072002002,U,NY,,"NEW YORK,NY,10016-6901","10016-6901, New York, New York",40.74543,-73.9823895,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,POLICY STUDIES IN EDUCATION INC,6
,002030157,E50,E50,HEL-E50-RG,501CX NONPROFIT,O,HE,,0.0,0.0,NEW YORK,NY,10029-4638,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610172004002,U,NY,,"NEW YORK,NY,10029-4638","10029-4638, New York, New York",40.791798,-73.9453815,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,NUEVO EL BARRIO REHABILITACION DE VIVIENDA Y ECONOMIA INC,6
,002030217,E20,E1122,HEL-E22-MS,501CX NONPROFIT,O,HE,,0.0,0.0,NEW YORK,NY,10038-2606,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610015011011,U,NY,,"NEW YORK,NY,10038-2606","10038-2606, New York, New York",40.710231,-74.0058795,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,BEEKMAN DOWNTOWN HOSPITAL SELF- INSURED MALPRACTICE TRUST,6
,002030417,A60,A60,ART-A60-RG,501CX NONPROFIT,O,AR,,0.0,0.0,NEW YORK,NY,10024-2002,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610173004000,U,NY,,"NEW YORK,NY,10024-2002","10024-2002, New York, New York",40.788234,-73.9701315,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,FROME COMPANY,6
,002030711,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,NEWARK,NJ,07104-4132,569 BROADWAY,35620,"New York-Newark-Jersey City, NY-NJ-PA",340130096003005,U,NJ,,"569 BROADWAY,NEWARK,NJ,07104-4132","569 Broadway, Newark, New Jersey, 07104",40.7699429625196,-74.1628245515901,100.0,M,3,1,0,1,0.0,0.0,10,6,1,7000,0,3,1979-12-01,2024-01-01,1979-01-01,1989-01-01,2024-01-01,,,,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,12
,002030781,E11,N12,HMS-N00-MM,501CX NONPROFIT,S,ZA,,0.0,0.0,NEW YORK,NY,10169-0001,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610092002005,U,NY,,"NEW YORK,NY,10169-0001","10169-0001, New York, New York",40.754214,-73.9769085,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,NATIONAL SPORTS MEDICINE RESEARCH & EDUCATION FOUNDATION INC,6
,002030973,A61,A99,ART-A99-RG,501CX NONPROFIT,O,AR,,0.0,0.0,NEW YORK,NY,10036-6302,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610121022000,U,NY,,"NEW YORK,NY,10036-6302","10036-6302, New York, New York",40.759263,-73.992699,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ARTS ASCENDING LTD,6
,002030974,C30,C30,ENV-C30-RG,501C3 PRIVATE FOUNDATION,O,EN,,0.0,0.0,JACKSON HEIGHTS,NY,11370,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360810309042003,U,NY,,"JACKSON HEIGHTS,NY,11370","11370, Jackson Heights, New York, New York",40.7613548453282,-73.8900596178965,100.0,M,3,,,,,,4,,,,,,1979-01-01,2007-01-01,1979-01-01,1989-01-01,2007-01-01,,,,INSTITUTE FOR CULTURAL ECOLOGY,1
,002031050,W99,W99,PSB-W99-RG,501CX NONPROFIT,O,PB,,0.0,0.0,NEW YORK,NY,10025-7493,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610179006001,U,NY,,"NEW YORK,NY,10025-7493","10025-7493, New York, New York",40.7925,-73.9728585,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,C D I MULTI SERVICE AGENCY INC,6
,002031206,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0.0,0.0,NEW YORK,NY,10168-0005,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610092002008,U,NY,,"NEW YORK,NY,10168-0005","10168, New York, New York",40.7516350000001,-73.9764049999999,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,T P C ENTERPRISES INC,6
,002031337,F05,F05,HEL-F00-RP,501CX NONPROFIT,O,HE,,0.0,0.0,NEW YORK,NY,10016-9397,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610078004001,U,NY,,"NEW YORK,NY,10016-9397","10016, New York, New York",40.74564,-73.97791,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,RESEARCH INSTITUTE OF PSYCHOPHYSILOGY INC,6
,002031830,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10005-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610007006000,U,NY,,"NEW YORK,NY,10005-0000","10005, New York, New York",40.705495,-74.007965,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,SOLOMON R GUGGENHEIM FOUNDATION,6
,002032112,E50,E50,HEL-E50-RG,501CX NONPROFIT,O,HE,,0.0,0.0,ALBANY,NY,12210-2314,,10580,"Albany-Schenectady-Troy, NY",360010014001000,U,NY,,"ALBANY,NY,12210-2314","12210-2314, Albany, New York",42.65658,-73.763118,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,NEW YORK EASTER SEAL SOCIETY FOR CRIPPLED CHILDREN & ADULTS INC,6
,002032311,P99,P99,HMS-P99-RG,501CX NONPROFIT,O,HS,,0.0,0.0,NEW YORK,NY,10016-5802,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610072002001,U,NY,,"NEW YORK,NY,10016-5802","10016-5802, New York, New York",40.746087,-73.98189,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,AL-ANON FAMILY GROUP HEADQUARTERS INC AL-ANON MADISON SQUARE STATION,6
,002032317,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,PALM BEACH,FL,33480-0000,,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",120990035131004,U,FL,,"PALM BEACH,FL,33480-0000","33480, Palm Beach, Florida",26.7057400000001,-80.0378699999999,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,WHITEHALL FOUNDATION INC,6
,002032342,A20,A20,ART-A20-RG,501CX NONPROFIT,O,AR,,0.0,0.0,KATONAH,NY,10536-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190126003025,U,NY,,"KATONAH,NY,10536-0000","10536, Katonah, New York",41.2560425,-73.6906231,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,CARAMOOR CENTER FOR MUSIC & THE ARTS INC,6
,002032540,A63,A63,ART-A63-RG,501CX NONPROFIT,O,AR,,0.0,0.0,NEW YORK,NY,10023-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610153023000,U,NY,,"NEW YORK,NY,10023-0000","10023, New York, New York",40.7756800000001,-73.98263,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,BALLET SOCIETY INC,6
,002032570,O22,O22,HMS-O22-RG,501CX NONPROFIT,O,HS,,0.0,0.0,MT KISCO,NY,10549-2303,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190129003000,U,NY,,"MT KISCO,NY,10549-2303","10549-2303, Mount Kisco, New York",41.20551,-73.727181,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,CAMP FIRE GIRLS INC WESTCHESTER SHORE,6
,002032573,A6E,A6E,ART-A00-RG,501CX NONPROFIT,O,AR,,0.0,0.0,WHITE PLAINS,NY,10606-3399,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190091003002,U,NY,,"WHITE PLAINS,NY,10606-3399","10606-3399, White Plains, New York",41.0364,-73.7806095,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,WESTCHESTER CONSERVATORY OF MUSIC INC,6
,002032798,T22,T22,PSB-T22-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0.0,0.0,NEW YORK,NY,10168,122 E 42ND ST,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610080005000,U,NY,,"122 E 42ND ST,NEW YORK,NY,10168","122 E 42nd St, New York, New York, 10168",40.7515654028966,-73.9764330204797,100.0,M,3,,,,,0.0,4,1,,,,,1970-12-01,2010-01-01,1970-01-01,1989-01-01,2010-01-01,,,,HOWARD G & MARY A CUSHING TRUST,12
,002033465,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10006-1901,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610013003000,U,NY,,"NEW YORK,NY,10006-1901","10006-1901, New York, New York",40.708584,-74.01105,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,EVA GEBHARD-GOURGAUD FOUNDATION,6
,002033617,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NATCHEZ,MS,39120-1207,,35020,"Natchez, MS-LA",280010007002037,U,MS,,"NATCHEZ,MS,39120-1207","39120, Natchez, Mississippi",31.56028,-91.39948,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ROGER S PHILLIPS CHARITABLE FOUNDATION INC,6
,002033633,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,MOUNT VERNON,NY,10552-2222,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190042001007,U,NY,,"MOUNT VERNON,NY,10552-2222","10552-2222, Mount Vernon, New York",40.924368,-73.8281115,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,DEFILIPPO & UOMOLEALE FOUNDATION INC,6
,002033847,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,CARLSTADT,NJ,07072-2696,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030050004004,U,NJ,,"CARLSTADT,NJ,07072-2696","07072, Carlstadt, New Jersey",40.838965,-74.08942,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,PAUL HELLMAN FOUNDATION,6
,002034006,B11,B11,EDU-B00-MS,501CX NONPROFIT,S,ZA,,0.0,0.0,ENGLEWOOD CLIFFS,NJ,07632-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030160003002,U,NJ,,"ENGLEWOOD CLIFFS,NJ,07632-0000","07632, Englewood Cliffs, New Jersey",40.879175,-73.95433,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,C P EXECUTIVES EDUCATIONAL FOUNDATION,6
,002034008,Z99,Y40,MMB-Y40-RG,501CX NONPROFIT,O,UN,,0.0,0.0,NEW YORK,NY,10028-0209,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610142002001,U,NY,,"NEW YORK,NY,10028-0209","10028-0209, New York, New York",40.776849,-73.959912,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ORDER OF COLONIAL LORDS OF MANORS IN AMERICA INC,6
,002034024,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,SOMERVILLE,NJ,08876-3366,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340350536042002,R,NJ,,"SOMERVILLE,NJ,08876-3366","08876-3366, Somerville, New Jersey",40.62312,-74.686698,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,FOUR OAKS FOUNDATION,6
,002034045,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,HARRISON,NY,10528-0163,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190084032024,U,NY,,"HARRISON,NY,10528-0163","10528-0163, Harrison, New York",40.97205,-73.718109,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ARGO FOUNDATION INC,6
,002034059,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,SHORT HILLS,NJ,07078-3411,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340130200002015,U,NJ,,"SHORT HILLS,NJ,07078-3411","07078-3411, Short Hills, New Jersey",40.726008,-74.318301,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,HOWARD S BUNN FOUNDATION,6
,002034074,T20,T20,PSB-T20-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0.0,0.0,NEW YORK,NY,10016,307 5TH AVE STE 8TH FLR,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610074005003,U,NY,,"307 5TH AVE STE 8TH FLR,NEW YORK,NY,10016","307 5th Ave, New York, New York, 10016",40.746726,-73.985589,99.06,M,3,,,,,0.0,4,1,,,,,1956-11-01,2010-01-01,1956-01-01,1989-01-01,2010-01-01,,,,RUTH & RALPH FRIEDMAN FOUNDATION INC,11
,002034118,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10016-0601,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610082002003,U,NY,,"NEW YORK,NY,10016-0601","10016-0601, New York, New York",40.751118,-73.9805895,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JOHN W & LAURA S STEWART FOUNDATION INC,6
,002034176,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,MIDDLESEX,NJ,08846-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340230001021013,U,NJ,,"MIDDLESEX,NJ,08846-0000","08846, Middlesex, New Jersey",40.5733450000001,-74.50341,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JOSEFOWITZ FAMILY FOUNDATION INC,6
,002034450,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,DES PLAINES,IL,60018-3212,,16980,"Chicago-Naperville-Elgin, IL-IN-WI",170318065023018,U,IL,,"DES PLAINES,IL,60018-3212","60018-3212, Des Plaines, Illinois",42.010812,-87.87141,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ANNUAL DOEHLER AWARD FUND AMERICAN DIE CASTING INSTITUTE INC TRUSTEE,6
,002034469,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10019-4107,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610112011003,U,NY,,"NEW YORK,NY,10019-4107","10019-4107, New York, New York",40.762413,-73.9744515,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,LOUIS AND HAROLD D PRICE FOUNDATION INC,6
,002034707,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,NEW YORK,NY,10018-3404,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610113001007,U,NY,,"NEW YORK,NY,10018-3404","10018-3404, New York, New York",40.754052,-73.987029,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,IRVING L & LILLIAN ROUSSO FOUNDATION,6
,002034739,B70,B70,EDU-B70-RG,501CX NONPROFIT,O,ED,,0.0,0.0,NY,NY,10177-0001,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360810114001002,U,NY,,"NY,NY,10177-0001","10177-0001, New York, New York",40.688586,-73.8424485,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JAMES E NICHOLS LIBRARY ASSOCIATION,6
,002034828,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,HOUSTON,TX,77001-0000,,26420,"Houston-The Woodlands-Sugar Land, TX",482013125011029,U,TX,,"HOUSTON,TX,77001-0000","77001, Houston, Texas",29.7444,-95.36788,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,SIMON ASKIN FOUNDATION,6
,002034869,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,HOLLYWOOD,CA,90028-0000,,31080,"Los Angeles-Long Beach-Anaheim, CA",60371907011005,U,CA,,"HOLLYWOOD,CA,90028-0000","90028, Los Angeles, California",34.0997600000001,-118.331975,99.9,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,MONTAGUE HAMILTON ZINK FOUNDATION,6
,002034947,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,KEARNY,NJ,07032-4308,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340170127004048,U,NJ,,"KEARNY,NJ,07032-4308","07032-4308, Kearny, New Jersey",40.747788,-74.110221,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JACOB & LIBBY GOODMAN FOUNDATION INC,6
,002034961,S82,S82,PSB-S82-RG,501CX NONPROFIT,O,PB,,0.0,0.0,SPRING VALLEY,NY,10977-6305,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360870125032013,U,NY,,"SPRING VALLEY,NY,10977-6305","10977-6305, Spring Valley, New York",41.082516,-74.0596005,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,RUDOLF STEINER FELLOWSHIP INC,6
,002034988,F03,F03,HEL-F00-PA,501CX NONPROFIT,O,HE,,0.0,0.0,NEW YORK,NY,10010-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610064001000,U,NY,,"NEW YORK,NY,10010-0000","10010, New York, New York",40.7391650000001,-73.982905,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,WORLD FEDERATION FOR MENTAL HEALTH INCORPORATED,6
,002035005,A80,A80,ART-A80-RG,501CX NONPROFIT,O,AR,,0.0,0.0,NEW YORK,NY,10017-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610088001000,U,NY,,"NEW YORK,NY,10017-0000","10017, New York, New York",40.75192,-73.973605,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,JAMES GORDON BENNETT MEMORIAL CORP,6
