EIN2,EIN,NTEE_IRS,NTEE_NCCS,NTEEV2,NCCS_LEVEL_1,NCCS_LEVEL_2,NCCS_LEVEL_3,F990_TOTAL_REVENUE_RECENT,F990_TOTAL_INCOME_RECENT,F990_TOTAL_ASSETS_RECENT,F990_ORG_ADDR_CITY,F990_ORG_ADDR_STATE,F990_ORG_ADDR_ZIP,F990_ORG_ADDR_STREET,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_BLOCK_FIPS,CENSUS_URBAN_AREA,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_ADDR_FULL,ORG_ADDR_MATCH,LATITUDE,LONGITUDE,GEOCODER_SCORE,GEOCODER_MATCH,BMF_SUBSECTION_CODE,BMF_STATUS_CODE,BMF_PF_FILING_REQ_CODE,BMF_ORGANIZATION_CODE,BMF_INCOME_CODE,BMF_GROUP_EXEMPT_NUM,BMF_FOUNDATION_CODE,BMF_FILING_REQ_CODE,BMF_DEDUCTIBILITY_CODE,BMF_CLASSIFICATION_CODE,BMF_ASSET_CODE,BMF_AFFILIATION_CODE,ORG_RULING_DATE,ORG_FISCAL_YEAR,ORG_RULING_YEAR,ORG_YEAR_FIRST,ORG_YEAR_LAST,ORG_YEAR_COUNT,ORG_PERS_ICO,ORG_NAME_SEC,ORG_NAME_CURRENT,ORG_FISCAL_PERIOD
EIN-00-2033465,2033465,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10006-1901,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610013003000,U,NY,New York County,"NEW YORK,NY,10006-1901","10006-1901, New York, New York",40.708584,-74.01105,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,EVA GEBHARD-GOURGAUD FOUNDATION,6
EIN-00-2033617,2033617,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NATCHEZ,MS,39120-1207,,35020,"Natchez, MS-LA",280010007002037,U,MS,Adams County,"NATCHEZ,MS,39120-1207","39120, Natchez, Mississippi",31.56028,-91.39948,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ROGER S PHILLIPS CHARITABLE FOUNDATION INC,6
EIN-00-2033633,2033633,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,MOUNT VERNON,NY,10552-2222,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190042001007,U,NY,Westchester County,"MOUNT VERNON,NY,10552-2222","10552-2222, Mount Vernon, New York",40.924368,-73.8281115,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,DEFILIPPO & UOMOLEALE FOUNDATION INC,6
EIN-00-2033847,2033847,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,CARLSTADT,NJ,07072-2696,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030050004004,U,NJ,Bergen County,"CARLSTADT,NJ,07072-2696","07072, Carlstadt, New Jersey",40.838965,-74.08942,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,PAUL HELLMAN FOUNDATION,6
EIN-00-2034006,2034006,B11,B11,EDU-B00-MS,501CX NONPROFIT,S,ZA,,0,0,ENGLEWOOD CLIFFS,NJ,07632-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030160003002,U,NJ,Bergen County,"ENGLEWOOD CLIFFS,NJ,07632-0000","07632, Englewood Cliffs, New Jersey",40.879175,-73.95433,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,C P EXECUTIVES EDUCATIONAL FOUNDATION,6
EIN-00-2034008,2034008,Z99,Y40,MMB-Y40-RG,501CX NONPROFIT,O,UN,,0,0,NEW YORK,NY,10028-0209,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610142002001,U,NY,New York County,"NEW YORK,NY,10028-0209","10028-0209, New York, New York",40.776849,-73.959912,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ORDER OF COLONIAL LORDS OF MANORS IN AMERICA INC,6
EIN-00-2034024,2034024,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,SOMERVILLE,NJ,08876-3366,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340350536042002,R,NJ,Somerset County,"SOMERVILLE,NJ,08876-3366","08876-3366, Somerville, New Jersey",40.62312,-74.686698,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,FOUR OAKS FOUNDATION,6
EIN-00-2034045,2034045,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,HARRISON,NY,10528-0163,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190084032024,U,NY,Westchester County,"HARRISON,NY,10528-0163","10528-0163, Harrison, New York",40.97205,-73.718109,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ARGO FOUNDATION INC,6
EIN-00-2034059,2034059,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,SHORT HILLS,NJ,07078-3411,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340130200002015,U,NJ,Essex County,"SHORT HILLS,NJ,07078-3411","07078-3411, Short Hills, New Jersey",40.726008,-74.318301,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HOWARD S BUNN FOUNDATION,6
EIN-00-2034074,2034074,T20,T20,PSB-T20-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0,0,NEW YORK,NY,10016,307 5TH AVE STE 8TH FLR,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610074005003,U,NY,New York County,"307 5TH AVE STE 8TH FLR,NEW YORK,NY,10016","307 5th Ave, New York, New York, 10016",40.746726,-73.985589,99.06,M,3,,,,,0,4,1,,,,,1956-11,2010,1956,1989,2010,22,,,RUTH & RALPH FRIEDMAN FOUNDATION INC,11
EIN-00-2034118,2034118,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10016-0601,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610082002003,U,NY,New York County,"NEW YORK,NY,10016-0601","10016-0601, New York, New York",40.751118,-73.9805895,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JOHN W & LAURA S STEWART FOUNDATION INC,6
EIN-00-2034176,2034176,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,MIDDLESEX,NJ,08846-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340230001021013,U,NJ,Middlesex County,"MIDDLESEX,NJ,08846-0000","08846, Middlesex, New Jersey",40.5733450000001,-74.50341,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JOSEFOWITZ FAMILY FOUNDATION INC,6
EIN-00-2034450,2034450,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,DES PLAINES,IL,60018-3212,,16980,"Chicago-Naperville-Elgin, IL-IN-WI",170318065023018,U,IL,Cook County,"DES PLAINES,IL,60018-3212","60018-3212, Des Plaines, Illinois",42.010812,-87.87141,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ANNUAL DOEHLER AWARD FUND AMERICAN DIE CASTING INSTITUTE INC TRUSTEE,6
EIN-00-2034469,2034469,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10019-4107,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610112011003,U,NY,New York County,"NEW YORK,NY,10019-4107","10019-4107, New York, New York",40.762413,-73.9744515,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LOUIS AND HAROLD D PRICE FOUNDATION INC,6
EIN-00-2034707,2034707,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10018-3404,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610113001007,U,NY,New York County,"NEW YORK,NY,10018-3404","10018-3404, New York, New York",40.754052,-73.987029,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,IRVING L & LILLIAN ROUSSO FOUNDATION,6
EIN-00-2034739,2034739,B70,B70,EDU-B70-RG,501CX NONPROFIT,O,ED,,0,0,NY,NY,10177-0001,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360810114001002,U,NY,Queens County,"NY,NY,10177-0001","10177-0001, New York, New York",40.688586,-73.8424485,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JAMES E NICHOLS LIBRARY ASSOCIATION,6
EIN-00-2034828,2034828,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,HOUSTON,TX,77001-0000,,26420,"Houston-The Woodlands-Sugar Land, TX",482013125011029,U,TX,Harris County,"HOUSTON,TX,77001-0000","77001, Houston, Texas",29.7444,-95.36788,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,SIMON ASKIN FOUNDATION,6
EIN-00-2034869,2034869,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,HOLLYWOOD,CA,90028-0000,,31080,"Los Angeles-Long Beach-Anaheim, CA",60371907011005,U,CA,Los Angeles County,"HOLLYWOOD,CA,90028-0000","90028, Los Angeles, California",34.0997600000001,-118.331975,99.9,M,,,,,,,,,,,,,,,,1989,1989,1,,,MONTAGUE HAMILTON ZINK FOUNDATION,6
EIN-00-2034947,2034947,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,KEARNY,NJ,07032-4308,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340170127004048,U,NJ,Hudson County,"KEARNY,NJ,07032-4308","07032-4308, Kearny, New Jersey",40.747788,-74.110221,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JACOB & LIBBY GOODMAN FOUNDATION INC,6
EIN-00-2034961,2034961,S82,S82,PSB-S82-RG,501CX NONPROFIT,O,PB,,0,0,SPRING VALLEY,NY,10977-6305,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360870125032013,U,NY,Rockland County,"SPRING VALLEY,NY,10977-6305","10977-6305, Spring Valley, New York",41.082516,-74.0596005,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,RUDOLF STEINER FELLOWSHIP INC,6
EIN-00-2034988,2034988,F03,F03,HEL-F00-PA,501CX NONPROFIT,O,HE,,0,0,NEW YORK,NY,10010-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610064001000,U,NY,New York County,"NEW YORK,NY,10010-0000","10010, New York, New York",40.7391650000001,-73.982905,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,WORLD FEDERATION FOR MENTAL HEALTH INCORPORATED,6
EIN-00-2035005,2035005,A80,A80,ART-A80-RG,501CX NONPROFIT,O,AR,,0,0,NEW YORK,NY,10017-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610088001000,U,NY,New York County,"NEW YORK,NY,10017-0000","10017, New York, New York",40.75192,-73.973605,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JAMES GORDON BENNETT MEMORIAL CORP,6
EIN-00-2035096,2035096,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,IPSWICH,MA,01938-1608,,14460,"Boston-Cambridge-Newton, MA-NH",250092233003011,U,MA,Essex County,"IPSWICH,MA,01938-1608","01938-1608, Ipswich, Massachusetts",42.666462,-70.8587595,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,QUEBEC-LABRADOR FOUNDATION INC,6
EIN-00-2035103,2035103,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10017-5804,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610088001002,U,NY,New York County,"NEW YORK,NY,10017-5804","10017-5804, New York, New York",40.749993,-73.972872,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,KALMAN SUNSHINE FUND INC,6
EIN-00-2035110,2035110,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0,0,SHELTER IS HT,NY,11965,PO BOX 3014,35620,"New York-Newark-Jersey City, NY-NJ-PA",361031803004076,R,NY,Suffolk County,"PO BOX 3014,SHELTER IS HT,NY,11965","11965, Shelter Island Heights, New York",41.0783531000001,-72.3554229,98,M,7,,,,,0,0,10,,,,,1964-06,2010,1964,2010,2010,1,,,GARDINERS BAY COUNTRY CLUB INC,6
EIN-00-2035227,2035227,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,UNION CITY,NJ,07087-4884,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340170165001000,U,NJ,Hudson County,"UNION CITY,NJ,07087-4884","07087-4884, Union City, New Jersey",40.773789,-74.025549,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,FRANKLIN FUND,6
EIN-00-2035229,2035229,A30,A30,ART-A30-RG,501CX NONPROFIT,O,AR,,0,0,NEW YORK,NY,10017-6603,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610080001001,U,NY,New York County,"NEW YORK,NY,10017-6603","10017-6603, New York, New York",40.750299,-73.9767915,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,THEATRE COMMUNICATIONS GROUP INC,6
EIN-00-2035316,2035316,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10016-7103,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610074003000,U,NY,New York County,"NEW YORK,NY,10016-7103","10016-7103, New York, New York",40.746204,-73.986102,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LORBERBAUM FOUNDATION INC,6
EIN-00-2035338,2035338,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10022-2104,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610112031001,U,NY,New York County,"NEW YORK,NY,10022-2104","10022-2104, New York, New York",40.760478,-73.9678095,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ABNER G ROSENFELD FUND INC,6
EIN-00-2035370,2035370,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10018-2506,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610111001001,U,NY,New York County,"NEW YORK,NY,10018-2506","10018-2506, New York, New York",40.754799,-73.99395,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,P & P GERLI FOUNDATION INC,6
EIN-00-2035455,2035455,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,RIDGEFIELD,NJ,07657-2191,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030451024003,U,NJ,Bergen County,"RIDGEFIELD,NJ,07657-2191","07657, Ridgefield, New Jersey",40.8330759,-74.0038974999999,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,I J FELDMAN FOUNDATION INC,6
EIN-00-2035543,2035543,T90,T90,PSB-T90-RG,501CX NONPROFIT,S,ZF,,0,0,CEDAR GROVE,NJ,07009-1240,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340130213005007,U,NJ,Essex County,"CEDAR GROVE,NJ,07009-1240","07009-1240, Cedar Grove, New Jersey",40.865976,-74.229552,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HARDY TRUST,6
EIN-00-2035550,2035550,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10019-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610139003001,U,NY,New York County,"NEW YORK,NY,10019-0000","10019, New York, New York",40.76615,-73.987495,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HEARST FOUNDATION INC,6
EIN-00-2035571,2035571,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,CHATHAM,NJ,07928-0232,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340270439003000,U,NJ,Morris County,"CHATHAM,NJ,07928-0232","07928-0232, Chatham, New Jersey",40.731786,-74.399112,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ALLIANCE FOUNDATION,6
EIN-00-2035638,2035638,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,WICHITA,KS,67202-2915,,48620,"Wichita, KS",201730043021031,U,KS,Sedgwick County,"WICHITA,KS,67202-2915","67202-2915, Wichita, Kansas",37.68606,-97.3408905,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,SALGO-NOREN FOUNDATION INC,6
EIN-00-2035732,2035732,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10014-4960,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610037002005,U,NY,New York County,"NEW YORK,NY,10014-4960","10014-4960, New York, New York",40.727682,-74.0039985,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ARTHUR FOUNDATION INC,6
EIN-00-2035793,2035793,S11,S11,PSB-S00-MS,501CX NONPROFIT,S,ZA,,0,0,WHITE PLAINS,NY,10605-1830,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190095002000,U,NY,Westchester County,"WHITE PLAINS,NY,10605-1830","10605-1830, White Plains, New York",41.02263,-73.759788,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,VOLUNTEER SERVICE BUREAU INC OF WESTCHESTER,6
EIN-00-2035832,2035832,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,SCARSDALE,NY,10583-5313,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190101003023,U,NY,Westchester County,"SCARSDALE,NY,10583-5313","10583-5313, Scarsdale, New York",40.986819,-73.8060795,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,SCHOCKEN FOUNDATION INC,6
EIN-00-2035841,2035841,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,PISCATAWAY,NJ,08854-2798,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340230004043003,U,NJ,Middlesex County,"PISCATAWAY,NJ,08854-2798","08854, Piscataway, New Jersey",40.5754400000001,-74.4576,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HARRIS BROTHERS FOUNDATION,6
EIN-00-2036130,2036130,S01,S01,PSB-S00-AA,501CX NONPROFIT,O,PB,,0,0,PURCHASE,NY,10577,700 ANDERSON HILL RD MD 426,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190086024030,U,NY,Westchester County,"700 ANDERSON HILL RD MD 426,PURCHASE,NY,10577","700 Anderson Hill Rd, Purchase, New York, 10577",41.034591,-73.692918,98.65,M,6,,,,,1242,0,20,,,,,1954-01,2010,1954,1999,2010,12,,NEW YORK CHAPTER,AMERICAN LOGISTICS ASSN,1
EIN-00-2036166,2036166,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,OTTSVILLE,PA,18942-0104,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",420171039003008,R,PA,Bucks County,"OTTSVILLE,PA,18942-0104","18942-0104, Ottsville, Pennsylvania",40.472028,-75.1638105,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ORGONOMIC RESEARCH FOUNDATION,6
EIN-00-2036245,2036245,B70,B70,EDU-B70-RG,501CX NONPROFIT,O,ED,,0,0,NEW YORK,NY,10021-0226,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610132012000,U,NY,New York County,"NEW YORK,NY,10021-0226","10021-0226, New York, New York",40.769028,-73.9530315,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,MEMORIAL LIBRARY & ART COLLECTION OF SECOND WORLD WAR INC,6
EIN-00-2036252,2036252,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,MAHWAH,NJ,07430-2023,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030321031006,U,NJ,Bergen County,"MAHWAH,NJ,07430-2023","07430-2023, Mahwah, New Jersey",41.080869,-74.1655485,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,THEODORE R & GRAYCE W BARTELS FOUNDATION INC,6
EIN-00-2036298,2036298,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10016-0202,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610082002003,U,NY,New York County,"NEW YORK,NY,10016-0202","10016-0202, New York, New York",40.751793,-73.9810305,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ROBERT GOULET FOUNDATION,6
EIN-00-2036346,2036346,A12,A1265,ART-A65-MM,501CX NONPROFIT,S,ZB,,0,0,NEW YORK,NY,10040-3172,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610279007000,U,NY,New York County,"NEW YORK,NY,10040-3172","10040-3172, New York, New York",40.856751,-73.92888,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HELLENIC THEATER FOUNDATION OF AMERICA INC,6
EIN-00-2036371,2036371,E62,E62,HEL-E62-RG,501CX NONPROFIT,O,HE,,0,0,YORKTOWN,NY,10598-0104,,35620,"New York-Newark-Jersey City, NY-NJ-PA",361190148082003,U,NY,Westchester County,"YORKTOWN,NY,10598-0104","10598-0104, Yorktown Heights, New York",41.295312,-73.79109,97.18,M,,,,,,,,,,,,,,,,1989,1989,1,,,YORKTOWN VOLUNTEER AMBULANCE CORP INC,6
EIN-00-2036435,2036435,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10016-0203,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610082002003,U,NY,New York County,"NEW YORK,NY,10016-0203","10016-0203, New York, New York",40.751793,-73.9810305,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,PADDY CHAYEFSKI FOUNDATION INC,6
EIN-00-2036439,2036439,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0,0,NEW YORK,NY,10001-0000,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610103001011,U,NY,New York County,"NEW YORK,NY,10001-0000","10001, New York, New York",40.750955,-73.9981099999999,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,TENDLER FOUNDATON INC,6
EIN-00-2036514,2036514,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,BRONX,NY,10451-3195,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360050051001001,U,NY,Bronx County,"BRONX,NY,10451-3195","10451, Bronx, New York",40.81654,-73.9272,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JEROME & BARBARA ACKERMAN FOUNDATION,6
EIN-00-2036584,2036584,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,ENGLEWOOD CLIFFS,NJ,07632-2502,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030160006020,U,NJ,Bergen County,"ENGLEWOOD CLIFFS,NJ,07632-2502","07632-2502, Englewood Cliffs, New Jersey",40.871556,-73.9562805,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LOUIS RUBENS FILIGREE FOUNDATION INC,6
EIN-00-2036586,2036586,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10017-3610,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610094001003,U,NY,New York County,"NEW YORK,NY,10017-3610","10017-3610, New York, New York",40.755474,-73.979352,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ROBERT F SUTNER FOUNDATION INC,6
EIN-00-2036793,2036793,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10021-5706,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610118004000,U,NY,New York County,"NEW YORK,NY,10021-5706","10021-5706, New York, New York",40.766706,-73.959561,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,TASIS FOUNDATION INC,6
EIN-00-2036795,2036795,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,CAMBRIDGE,MA,02138-0000,,14460,"Boston-Cambridge-Newton, MA-NH",250173536002010,U,MA,Middlesex County,"CAMBRIDGE,MA,02138-0000","02138, Cambridge, Massachusetts",42.3761418,-71.1185260999999,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,SMALLEY FOUNDATION INC,6
EIN-00-2036871,2036871,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,LITTLE FALLS,NJ,07424-1803,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340311540031003,U,NJ,Passaic County,"LITTLE FALLS,NJ,07424-1803","07424-1803, Little Falls, New Jersey",40.878837,-74.2061205,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,EDITH & MAURICE BROWN FOUNDATION INC,6
EIN-00-2037026,2037026,Z99,Z99,UNU-Z99-RG,501C3 PRIVATE FOUNDATION,O,UN,,0,0,GLOUCESTER,MA,1930,10 NAIOMI DR,14460,"Boston-Cambridge-Newton, MA-NH",250092213003009,U,MA,Essex County,"10 NAIOMI DR,GLOUCESTER,MA,1930","10 Naiomi Dr, Gloucester, Massachusetts, 01930",42.6248837557999,-70.6200474070003,100,M,3,,,,,0,4,1,,,,,1968-08,2010,1968,1989,2010,22,,,J M R BARKER FOUNDATION,8
EIN-00-2037063,2037063,A33,A33,ART-A33-RG,501CX NONPROFIT,O,AR,,0,0,NEW YORK,NY,10002-7807,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610008005000,U,NY,New York County,"NEW YORK,NY,10002-7807","10002-7807, New York, New York",40.711491,-73.9945395,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,NEWSPAPER GUILD OF NEW YORK POST UNIT NY POST COLLEGE SCHOLARSHP FD,6
EIN-00-2037076,2037076,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10005-1103,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610007001000,U,NY,New York County,"NEW YORK,NY,10005-1103","10005-1103, New York, New York",40.708818,-74.010681,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,RICHARD HAMPTON JENRETTE FOUNDATION INC,6
EIN-00-2037121,2037121,T90,T90,PSB-T90-RG,501CX NONPROFIT,S,ZF,,0,0,NEW YORK,NY,10004-1412,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610009001018,U,NY,New York County,"NEW YORK,NY,10004-1412","10004-1412, New York, New York",40.702626,-74.0140785,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,JOAN AND EDWARD JOHNSON CHARITABLE TRUST,6
EIN-00-2037241,2037241,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,PEAPACK,NJ,07977-0018,,35620,"New York-Newark-Jersey City, NY-NJ-PA",340350528002027,R,NJ,Somerset County,"PEAPACK,NJ,07977-0018","07977-0018, Peapack, New Jersey",40.710834,-74.658789,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HODNETT FOUNDATION,6
EIN-00-2037584,2037584,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,NEW YORK,NY,10022-3904,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610108011000,U,NY,New York County,"NEW YORK,NY,10022-3904","10022-3904, New York, New York",40.759362,-73.9680885,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LAWRENCE J ISRAEL FOUNDATION,6
EIN-00-2037804,2037804,Z99,Z99,UNU-Z99-RG,501CX NONPROFIT,O,UN,,0,0,NEW YORK,NY,10017-3610,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610094001003,U,NY,New York County,"NEW YORK,NY,10017-3610","10017-3610, New York, New York",40.755474,-73.979352,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,CENTER FOR THE LIVING FORCE INC,6
EIN-00-2037876,2037876,Z99,Z99,UNU-Z99-RG,501C3 CHARITY,O,UN,,0,0,NEW YORK,NY,10028,525 E 85TH ST,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610144011000,U,NY,New York County,"525 E 85TH ST,NEW YORK,NY,10028","525 E 85th St, New York, New York, 10028",40.774887,-73.9463085,100,M,3,,,,,0,16,20,,,,,1972-06,2010,1972,2010,2010,1,,,STRAVINSKY-DIAGHILCY FOUNDATION,6
